lat="50.53132" lon="30.62783"
lat="50.53146" lon="30.62785"
lat="50.53146" lon="30.62785"
lat="50.53143" lon="30.62835"
lat="50.53143" lon="30.62835"
lat="50.53066" lon="30.62827"
lat="50.52997" lon="30.62821"
lat="50.52952" lon="30.62816"
lat="50.52946" lon="30.62814"
lat="50.5294" lon="30.62809"
lat="50.5294" lon="30.62809"
lat="50.52918" lon="30.62841"
lat="50.52913" lon="30.62852"
lat="50.52903" lon="30.62868"
lat="50.52903" lon="30.62868"
lat="50.52885" lon="30.62857"
lat="50.52885" lon="30.62857"
lat="50.52881" lon="30.62862"
lat="50.52877" lon="30.62864"
lat="50.52872" lon="30.62864"
lat="50.52776" lon="30.62853"
lat="50.52629" lon="30.62836"
lat="50.52577" lon="30.62831"
lat="50.52548" lon="30.62827"
lat="50.52483" lon="30.6282"
lat="50.52406" lon="30.62812"
lat="50.52347" lon="30.62806"
lat="50.52285" lon="30.62798"
lat="50.52271" lon="30.62796"
lat="50.52271" lon="30.62796"
lat="50.52271" lon="30.62769"
lat="50.52281" lon="30.62525"
lat="50.52285" lon="30.62426"
lat="50.52292" lon="30.62243"
lat="50.52293" lon="30.62226"
lat="50.52298" lon="30.62086"
lat="50.52299" lon="30.62073"
lat="50.52301" lon="30.62062"
lat="50.52303" lon="30.6205"
lat="50.52306" lon="30.62039"
lat="50.5231" lon="30.6203"
lat="50.52316" lon="30.62013"
lat="50.52316" lon="30.62013"
lat="50.52322" lon="30.62007"
lat="50.52327" lon="30.62"
lat="50.52331" lon="30.6199"
lat="50.52333" lon="30.61979"
lat="50.52334" lon="30.61967"
lat="50.52334" lon="30.61956"
lat="50.52332" lon="30.61944"
lat="50.52328" lon="30.61934"
lat="50.52324" lon="30.61925"
lat="50.52318" lon="30.61918"
lat="50.52313" lon="30.61914"
lat="50.52308" lon="30.61911"
lat="50.52303" lon="30.6191"
lat="50.52297" lon="30.61909"
lat="50.52291" lon="30.61911"
lat="50.52286" lon="30.61913"
lat="50.52276" lon="30.61922"
lat="50.52276" lon="30.61922"
lat="50.52267" lon="30.61933"
lat="50.52258" lon="30.6194"
lat="50.52251" lon="30.61946"
lat="50.52242" lon="30.6195"
lat="50.52233" lon="30.61951"
lat="50.52222" lon="30.6195"
lat="50.52195" lon="30.61947"
lat="50.52177" lon="30.61942"
lat="50.52165" lon="30.6194"
lat="50.52154" lon="30.61936"
lat="50.52142" lon="30.61933"
lat="50.52116" lon="30.61925"
lat="50.52099" lon="30.61921"
lat="50.5208" lon="30.61916"
lat="50.52065" lon="30.61912"
lat="50.52003" lon="30.61895"
lat="50.51953" lon="30.61878"
lat="50.51909" lon="30.61859"
lat="50.51904" lon="30.61857"
lat="50.51901" lon="30.61855"
lat="50.51894" lon="30.61853"
lat="50.51801" lon="30.61811"
lat="50.51765" lon="30.61794"
lat="50.51729" lon="30.61773"
lat="50.51678" lon="30.61741"
lat="50.51657" lon="30.61727"
lat="50.51623" lon="30.61705"
lat="50.51607" lon="30.61693"
lat="50.51518" lon="30.61627"
lat="50.51489" lon="30.61604"
lat="50.51465" lon="30.61584"
lat="50.51461" lon="30.6158"
lat="50.51398" lon="30.61519"
lat="50.51365" lon="30.61488"
lat="50.5134" lon="30.61463"
lat="50.51327" lon="30.61452"
lat="50.51314" lon="30.61435"
lat="50.51305" lon="30.6141"
lat="50.513" lon="30.61382"
lat="50.513" lon="30.61382"
lat="50.51296" lon="30.61366"
lat="50.51289" lon="30.61353"
lat="50.51279" lon="30.61344"
lat="50.51268" lon="30.6134"
lat="50.51257" lon="30.61341"
lat="50.51257" lon="30.61341"
lat="50.51233" lon="30.61339"
lat="50.51219" lon="30.61336"
lat="50.51207" lon="30.61325"
lat="50.51198" lon="30.61315"
lat="50.51101" lon="30.61208"
lat="50.51088" lon="30.61194"
lat="50.51084" lon="30.61189"
lat="50.5106" lon="30.61156"
lat="50.51013" lon="30.61091"
lat="50.50936" lon="30.6097"
lat="50.50836" lon="30.6081"
lat="50.50798" lon="30.60748"
lat="50.50752" lon="30.6066"
lat="50.50746" lon="30.60648"
lat="50.50684" lon="30.60524"
lat="50.50679" lon="30.60512"
lat="50.50671" lon="30.60498"
lat="50.50666" lon="30.60487"
lat="50.50659" lon="30.60474"
lat="50.50642" lon="30.60438"
lat="50.50605" lon="30.6035"
lat="50.50555" lon="30.6021"
lat="50.5055" lon="30.60179"
lat="50.50556" lon="30.60135"
lat="50.50556" lon="30.60135"
lat="50.50558" lon="30.60125"
lat="50.50559" lon="30.60114"
lat="50.50558" lon="30.60099"
lat="50.50554" lon="30.60085"
lat="50.50549" lon="30.60073"
lat="50.50541" lon="30.60063"
lat="50.50532" lon="30.60057"
lat="50.50525" lon="30.60055"
lat="50.50525" lon="30.60055"
lat="50.50504" lon="30.60039"
lat="50.50497" lon="30.60029"
lat="50.50494" lon="30.6002"
lat="50.50418" lon="30.59791"
lat="50.50413" lon="30.59778"
lat="50.50408" lon="30.59763"
lat="50.504" lon="30.5974"
lat="50.50377" lon="30.5967"
lat="50.50332" lon="30.59549"
lat="50.50326" lon="30.59535"
lat="50.50312" lon="30.59505"
lat="50.5031" lon="30.595"
lat="50.50284" lon="30.59443"
lat="50.50261" lon="30.59403"
lat="50.50251" lon="30.59384"
lat="50.50228" lon="30.59343"
lat="50.50215" lon="30.59321"
lat="50.50165" lon="30.59238"
lat="50.50161" lon="30.59232"
lat="50.50131" lon="30.59182"
lat="50.50097" lon="30.59138"
lat="50.5006" lon="30.59101"
lat="50.50021" lon="30.59067"
lat="50.50005" lon="30.59052"
lat="50.49898" lon="30.58994"
lat="50.49876" lon="30.58983"
lat="50.49824" lon="30.58957"
lat="50.49785" lon="30.58944"
lat="50.4976" lon="30.58939"
lat="50.49748" lon="30.58939"
lat="50.49746" lon="30.58938"
lat="50.49733" lon="30.58938"
lat="50.49675" lon="30.58935"
lat="50.49675" lon="30.58935"
lat="50.49668" lon="30.58932"
lat="50.49655" lon="30.58927"
lat="50.49642" lon="30.5892"
lat="50.49639" lon="30.58917"
lat="50.4963" lon="30.5891"
lat="50.49618" lon="30.58897"
lat="50.49608" lon="30.58883"
lat="50.49597" lon="30.58867"
lat="50.49585" lon="30.58841"
lat="50.49576" lon="30.58821"
lat="50.49573" lon="30.58812"
lat="50.49568" lon="30.58795"
lat="50.49562" lon="30.58769"
lat="50.49557" lon="30.58735"
lat="50.49557" lon="30.58735"
lat="50.49559" lon="30.58594"
lat="50.49561" lon="30.58433"
lat="50.49554" lon="30.58321"
lat="50.49552" lon="30.58305"
lat="50.4955" lon="30.58223"
lat="50.4955" lon="30.58198"
lat="50.49553" lon="30.57803"
lat="50.49556" lon="30.57608"
lat="50.49556" lon="30.57584"
lat="50.49556" lon="30.57551"
lat="50.49558" lon="30.5743"
lat="50.49559" lon="30.57203"
lat="50.49558" lon="30.57004"
lat="50.49559" lon="30.56935"
lat="50.49559" lon="30.56727"
lat="50.49558" lon="30.56568"
lat="50.49556" lon="30.56387"
lat="50.49554" lon="30.56321"
lat="50.49551" lon="30.5622"
lat="50.49549" lon="30.56186"
lat="50.4954" lon="30.5607"
lat="50.49531" lon="30.55961"
lat="50.49525" lon="30.55907"
lat="50.49508" lon="30.55763"
lat="50.49506" lon="30.55741"
lat="50.49506" lon="30.55741"
lat="50.49439" lon="30.55219"
lat="50.49408" lon="30.54978"
lat="50.49371" lon="30.5468"
lat="50.49362" lon="30.54601"
lat="50.49345" lon="30.54501"
lat="50.49322" lon="30.5441"
lat="50.493" lon="30.54325"
lat="50.49253" lon="30.54169"
lat="50.49231" lon="30.54108"
lat="50.48923" lon="30.53082"
lat="50.48901" lon="30.53003"
lat="50.48901" lon="30.53003"
lat="50.48898" lon="30.52971"
lat="50.48897" lon="30.52945"
lat="50.48898" lon="30.52917"
lat="50.489" lon="30.52897"
lat="50.48903" lon="30.52872"
lat="50.48955" lon="30.52691"
lat="50.48955" lon="30.52691"
lat="50.48993" lon="30.52559"
lat="50.49009" lon="30.52513"
lat="50.49015" lon="30.52495"
lat="50.49027" lon="30.52474"
lat="50.49037" lon="30.52458"
lat="50.49037" lon="30.52458"
lat="50.49065" lon="30.5243"
lat="50.49109" lon="30.52385"
lat="50.49123" lon="30.52369"
lat="50.4916" lon="30.52326"
lat="50.49209" lon="30.52277"
lat="50.49281" lon="30.52209"
lat="50.49314" lon="30.52178"
lat="50.49349" lon="30.52144"
lat="50.49358" lon="30.52135"
lat="50.49421" lon="30.52073"
lat="50.4953" lon="30.51965"
lat="50.49533" lon="30.51962"
lat="50.49545" lon="30.5195"
lat="50.49612" lon="30.51882"
lat="50.49632" lon="30.51861"
lat="50.49632" lon="30.51861"
lat="50.49638" lon="30.51855"
lat="50.49641" lon="30.5185"
lat="50.49644" lon="30.51847"
lat="50.49644" lon="30.51847"
lat="50.49763" lon="30.51746"
lat="50.49956" lon="30.51568"
lat="50.49962" lon="30.51563"
lat="50.49972" lon="30.51553"
lat="50.49983" lon="30.51544"
lat="50.50002" lon="30.51526"
lat="50.50212" lon="30.51334"
lat="50.50294" lon="30.5126"
lat="50.503" lon="30.51255"
lat="50.50367" lon="30.51193"
lat="50.50462" lon="30.51107"
lat="50.50483" lon="30.51088"
lat="50.50492" lon="30.51079"
lat="50.50577" lon="30.51003"
lat="50.50608" lon="30.50975"
lat="50.50621" lon="30.50963"
lat="50.50631" lon="30.50955"
lat="50.50631" lon="30.50955"
lat="50.50708" lon="30.50894"
lat="50.50754" lon="30.50857"
lat="50.50769" lon="30.50844"
lat="50.50844" lon="30.50784"
lat="50.50873" lon="30.50762"
lat="50.50909" lon="30.50742"
lat="50.50978" lon="30.50709"
lat="50.51002" lon="30.50698"
lat="50.51029" lon="30.50689"
lat="50.51087" lon="30.50671"
lat="50.51116" lon="30.50664"
lat="50.51147" lon="30.50661"
lat="50.51186" lon="30.5066"
lat="50.51214" lon="30.5066"
lat="50.51214" lon="30.5066"
lat="50.51227" lon="30.50657"
lat="50.51238" lon="30.50649"
lat="50.51248" lon="30.50635"
lat="50.51254" lon="30.50617"
lat="50.51256" lon="30.50598"
lat="50.51255" lon="30.50578"
lat="50.51249" lon="30.50559"
lat="50.51249" lon="30.50559"
lat="50.51237" lon="30.50519"
lat="50.51236" lon="30.50502"
lat="50.51235" lon="30.505"
lat="50.51235" lon="30.50478"
lat="50.51237" lon="30.50413"
lat="50.51237" lon="30.504"
lat="50.51238" lon="30.50352"
lat="50.5124" lon="30.50238"
lat="50.51241" lon="30.50202"
lat="50.51241" lon="30.50175"
lat="50.51241" lon="30.50133"
lat="50.51241" lon="30.50106"
lat="50.51241" lon="30.50106"
lat="50.51237" lon="30.5009"
lat="50.51232" lon="30.50082"
lat="50.51226" lon="30.50078"
lat="50.51217" lon="30.50078"
lat="50.51211" lon="30.50082"
lat="50.51207" lon="30.50088"
lat="50.51203" lon="30.50096"
lat="50.51203" lon="30.50112"
lat="50.51202" lon="30.50128"
lat="50.51202" lon="30.50165"
lat="50.51202" lon="30.50177"
lat="50.51201" lon="30.5023"
lat="50.51199" lon="30.50403"
lat="50.51199" lon="30.50403"
lat="50.51188" lon="30.50402"
lat="50.51186" lon="30.50402"
